Local matrix size       = 1.9353 GiBs
Total device memory use = 2.2493 GiBs
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
   %   | Column    | Step Time (s) ||         DGEMM GFLOPS         || pdfact (s) | pmxswp (s) | Lbcast (s) | laswp (s) | GPU Sync (s) | Step GFLOPS | Overall GFLOPS
       |           |               |  Small   |  First   | Second   |            |            |            |           |              |             |               
 84.4% | 000038016 |    0.0077778  |          | 2.424e+04|          |            |            |  7.542e-03 | 0.000e+00 |   1.896e-05  |  5.165e+03  |    5.417e+04   
 85.2% | 000038400 |    0.0072810  |          | 2.738e+04|          |            |            |  7.041e-03 | 0.000e+00 |   1.896e-05  |  4.947e+03  |    5.385e+04   
 86.1% | 000038784 |    0.0078140  |          | 2.506e+04|          |            |            |  7.558e-03 | 0.000e+00 |   1.846e-05  |  4.108e+03  |    5.351e+04   
 86.9% | 000039168 |    0.0074944  |          | 2.533e+04|          |            |            |  7.247e-03 | 0.000e+00 |   1.682e-05  |  3.789e+03  |    5.319e+04   
 87.8% | 000039552 |    0.0073140  |          | 2.019e+04|          |            |            |  7.044e-03 | 0.000e+00 |   1.886e-05  |  3.408e+03  |    5.287e+04   
 88.6% | 000039936 |    0.0073794  | 2.064e+04| 4.420e+04|          |  6.516e-03 |  1.777e-04 |  3.928e-04 | 0.000e+00 |   1.975e-05  |  2.938e+03  |    5.255e+04   
 89.5% | 000040320 |    0.0077008  |          | 1.886e+04|          |            |            |  7.422e-03 | 0.000e+00 |   1.691e-05  |  2.423e+03  |    5.222e+04   
 90.3% | 000040704 |    0.0075270  |          | 2.840e+04|          |            |            |  7.350e-03 | 0.000e+00 |   2.148e-05  |  2.108e+03  |    5.190e+04   
 91.2% | 000041088 |    0.0072593  |          | 2.022e+04|          |            |            |  7.025e-03 | 0.000e+00 |   2.260e-05  |  1.832e+03  |    5.159e+04   
 92.0% | 000041472 |    0.0066960  |          | 1.658e+04|          |            |            |  6.447e-03 | 0.000e+00 |   1.749e-05  |  1.637e+03  |    5.131e+04   
 92.9% | 000041856 |    0.0070571  |          | 1.328e+04|          |            |            |  6.784e-03 | 0.000e+00 |   2.123e-05  |  1.253e+03  |    5.101e+04   
 93.8% | 000042240 |    0.0067922  |          | 2.010e+04|          |            |            |  6.559e-03 | 0.000e+00 |   1.874e-05  |  1.024e+03  |    5.073e+04   
 94.6% | 000042624 |    0.0065515  |          | 1.384e+04|          |            |            |  6.304e-03 | 0.000e+00 |   1.680e-05  |  8.084e+02  |    5.046e+04   
 95.5% | 000043008 |    0.0067081  | 2.538e+04|          |          |  6.235e-03 |  1.694e-04 |  1.767e-04 | 0.000e+00 |   1.880e-05  |  5.757e+02  |    5.018e+04   
 96.3% | 000043392 |    0.0069381  |          |          |          |            |            |  6.916e-03 | 0.000e+00 |   7.000e-07  |  3.826e+02  |    4.990e+04   
 97.2% | 000043776 |    0.0069426  |          |          |          |            |            |  6.924e-03 | 0.000e+00 |   3.900e-07  |  2.410e+02  |    4.962e+04   
 98.0% | 000044160 |    0.0294412  |          |          |          |            |            |  2.942e-02 | 0.000e+00 |   3.900e-07  |  3.119e+01  |    4.846e+04   
 98.9% | 000044544 |    0.0188781  |          |          |          |            |            |  1.886e-02 | 0.000e+00 |   3.900e-07  |  2.065e+01  |    4.774e+04   
 99.7% | 000044928 |    0.0064467  |          |          |          |            |            |  6.425e-03 | 0.000e+00 |   3.900e-07  |  1.514e+00  |    4.750e+04   
Final Score:    4.6291e+04 GFLOPS 
Residual value = 0.000025893490338 (0x3efb26bb1b5cdb39)
Residual Check: PASSED 
